centro,2017,2018,2019,2020,2021,2022,media
CTDR,1.74,1.55,1.42,1.68,1.60,1.82,1.67
CEAR,2.50,1.85,1.59,2.11,2.01,2.10,2.02
CCHSA,2.59,2.47,1.22,1.89,2.04,2.3,2.10
CI,2.70,2.17,2.63,1.56,2.27,2.30,2.27
CE,2.17,3.10,2.11,2.10,2.37,2.21,2.34
CCTA,2.88,2.99,3.06,1.16,2.52,2.55,2.21
CCSA,2.54,2.21,3.32,3.03,2.77,2.61,2.74
CCAE,2.78,3.40,2.92,2.16,2.81,2.78,2.81
CCS,2.93,2.95,2.86,3.10,2.96,3.02,2.97
CT,2.99,2.92,3.12,3.63,3.16,3.2,3.17
CBIOTEC,3.50,4.75,2.57,1.86,3.17,3.21,3.17
CCEN,2.41,5.00,3.70,2.14,3.31,4.9,3.58
CCHLA,3.65,4.12,2.82,2.94,3.38,3.11,3.33
CCA,3.22,3.16,3.13,4.74,3.56,3.11,3.49
CCJ,4.12,2.81,4.59,5.35,4.22,4.91,4.3
CCM,5.31,4.45,2.58,6.64,4.74,3.99,4.6
